model,test_auc,test_sd,train_auc,overfit
grie,0.8472904973322174,0.0913031452405185,0.8653805460161302,0.01809004868391284
grie_tuned,0.8330507625265784,0.0959774100876774,0.871289417866404,0.03823865533982562
logistic,0.8259996627844907,0.09757093705104997,0.8735151782929389,0.047515515508448236
rf,0.8224085225750039,0.09847816147983623,0.9014117005500394,0.07900317797503553
gbm,0.8102067401739972,0.10627521444923756,0.9142643174252348,0.10405757725123765
