label_quantile,min_cases,n,positive_rate,grie,grie_tuned,logistic,gbm,rf,grie_minus_gbm,grie_minus_rf,tuning_delta
0.7,3,351,0.30484330484330485,0.8138989139557651,0.8085332451445992,0.8006652025601338,0.7879189421893138,0.7934201779642844,0.025979971766451282,0.020478735991480645,-0.005365668811165847
0.7,5,268,0.30223880597014924,0.8546891042707067,0.835546881890085,0.8415573702605254,0.831150170623609,0.8274035000732763,0.023538933647097693,0.027285604197430313,-0.019142222380621687
0.7,8,192,0.3020833333333333,0.8687402579915638,0.8728781143768247,0.840517250253279,0.8589993781517625,0.8469908402497469,0.00974087983980132,0.021749417741816934,0.004137856385260874
0.75,3,351,0.25071225071225073,0.7772812324525042,0.7692656380803342,0.7697845157131741,0.7078064020342578,0.7344409035679264,0.06947483041824642,0.042840328884577894,-0.008015594372170032
0.75,5,268,0.26119402985074625,0.8493357679822917,0.8318749112560381,0.8275217078715903,0.8254126300362716,0.8183673147029338,0.02392313794602008,0.030968453279357933,-0.017460856726253637
0.75,8,192,0.25,0.8862806902338423,0.8869747992492354,0.8623791120942653,0.8415758257632173,0.8496128602765387,0.04470486447062494,0.036667829957303555,0.0006941090153931295
0.8,3,351,0.20512820512820512,0.7541679548320092,0.746710763899265,0.7372961277906541,0.7386908276153862,0.7436997562235076,0.015477127216622977,0.010468198608501567,-0.007457190932744107
0.8,5,268,0.21641791044776118,0.8418797334010218,0.829496155931614,0.8196738801926904,0.8147288982163533,0.8262307146403076,0.027150835184668543,0.01564901876071423,-0.01238357746940788
0.8,8,192,0.20833333333333334,0.8573373726158865,0.8551501124858485,0.8320276254548739,0.8210297064377879,0.8358851744570986,0.03630766617809855,0.02145219815878785,-0.0021872601300380046
0.85,3,351,0.150997150997151,0.7421717961257562,0.7514479409717711,0.7405696570852491,0.7249649580975882,0.7551345611359103,0.017206838028168026,-0.012962765010154031,0.009276144846014911
0.85,5,268,0.1791044776119403,0.8700789921609431,0.8649952565672088,0.8486363489157688,0.8236339090941676,0.8474142557660078,0.04644508306677553,0.02266473639493527,-0.005083735593734318
0.85,8,192,0.15625,0.8491508636856232,0.8395118973941086,0.8157624870069331,0.7982962288886457,0.8237490610146302,0.050854634796977494,0.025401802670993012,-0.009638966291514617
