regime,entity_type,seed,floor_fraction,min_weight,factors,test_auc,untuned_auc,hhi,largest_share,untuned_hhi,converged
plausible,SECTOR,11,0.0,0.0,5,0.6931473212408655,0.6987058200257323,0.23405088286884868,0.2783987658961782,0.22380000000000003,True
plausible,SECTOR,11,0.1,0.020000000000000004,5,0.6943470375696214,0.6987058200257323,0.23199038389582866,0.27333136793875074,0.22380000000000003,True
plausible,SECTOR,11,0.25,0.05,5,0.6942825668323285,0.6987058200257323,0.23198445018114627,0.2697085216620031,0.22380000000000003,True
plausible,SECTOR,11,0.4,0.08000000000000002,5,0.6948964403743787,0.6987058200257323,0.23013680421086344,0.2679785656908127,0.22380000000000003,True
plausible,SECTOR,11,0.6,0.12,5,0.696645559507892,0.6987058200257323,0.22179965638565452,0.2706549996801337,0.22380000000000003,True
plausible,SECTOR,11,0.8,0.16000000000000003,5,0.6987058200257323,0.6987058200257323,0.22380000000000003,0.28,0.22380000000000003,True
plausible,SECTOR,11,0.95,0.19,5,0.6987058200257323,0.6987058200257323,0.22380000000000003,0.28,0.22380000000000003,True
plausible,SECTOR,23,0.0,0.0,5,0.7526180324970038,0.7480570002722585,0.25511217055848134,0.2901285596670315,0.22380000000000003,True
plausible,SECTOR,23,0.1,0.020000000000000004,5,0.7527331108485205,0.7480570002722585,0.2551273005184618,0.2925047785034804,0.22380000000000003,True
plausible,SECTOR,23,0.25,0.05,5,0.7523289332236814,0.7480570002722585,0.25698634764970346,0.2968457750099411,0.22380000000000003,True
plausible,SECTOR,23,0.4,0.08000000000000002,5,0.7525843510282672,0.7480570002722585,0.246209783466525,0.29012470639882376,0.22380000000000003,True
plausible,SECTOR,23,0.6,0.12,5,0.7505550425368882,0.7480570002722585,0.22258539218742204,0.27466176272838994,0.22380000000000003,True
plausible,SECTOR,23,0.8,0.16000000000000003,5,0.7480570002722585,0.7480570002722585,0.22380000000000003,0.28,0.22380000000000003,True
plausible,SECTOR,23,0.95,0.19,5,0.7480570002722585,0.7480570002722585,0.22380000000000003,0.28,0.22380000000000003,True
plausible,SECTOR,37,0.0,0.0,5,0.6953012912482066,0.6927176739598278,0.2526662608935152,0.33095286530193535,0.22380000000000003,True
plausible,SECTOR,37,0.1,0.020000000000000004,5,0.6951359621592539,0.6927176739598278,0.25206547171223875,0.3312148738117387,0.22380000000000003,True
plausible,SECTOR,37,0.25,0.05,5,0.6951107424677189,0.6927176739598278,0.2525405266789817,0.33450973252528254,0.22380000000000003,True
plausible,SECTOR,37,0.4,0.08000000000000002,5,0.6945026676829269,0.6927176739598278,0.2489007352754983,0.339113109980382,0.22380000000000003,True
plausible,SECTOR,37,0.6,0.12,5,0.6936928353658537,0.6927176739598278,0.23509039452385122,0.3315618637824392,0.22380000000000003,True
plausible,SECTOR,37,0.8,0.16000000000000003,5,0.6927176739598278,0.6927176739598278,0.22380000000000003,0.28,0.22380000000000003,True
plausible,SECTOR,37,0.95,0.19,5,0.6927176739598278,0.6927176739598278,0.22380000000000003,0.28,0.22380000000000003,True
plausible,SECTOR,41,0.0,0.0,5,0.7056744578991834,0.7032385243593353,0.23612137425544927,0.29055027958876595,0.22380000000000003,True
plausible,SECTOR,41,0.1,0.020000000000000004,5,0.7054379048155449,0.7032385243593353,0.2362411333525384,0.28478795255307005,0.22380000000000003,True
plausible,SECTOR,41,0.25,0.05,5,0.7054294564911293,0.7032385243593353,0.23613431802301743,0.28286533833932975,0.22380000000000003,True
plausible,SECTOR,41,0.4,0.08000000000000002,5,0.7055984229794423,0.7032385243593353,0.22900554442893392,0.28271069933162907,0.22380000000000003,True
plausible,SECTOR,41,0.6,0.12,5,0.7047958321599549,0.7032385243593353,0.22216090330214774,0.27045483661692094,0.22380000000000003,True
plausible,SECTOR,41,0.8,0.16000000000000003,5,0.7032385243593353,0.7032385243593353,0.22380000000000003,0.28,0.22380000000000003,True
plausible,SECTOR,41,0.95,0.19,5,0.7032385243593353,0.7032385243593353,0.22380000000000003,0.28,0.22380000000000003,True
plausible,SECTOR,53,0.0,0.0,5,0.7509402271150545,0.7389496982004375,0.25348872929872496,0.3454894689273391,0.22380000000000003,True
plausible,SECTOR,53,0.1,0.020000000000000004,5,0.7510666206032621,0.7389496982004375,0.2562232178258751,0.3449553516372579,0.22380000000000003,True
plausible,SECTOR,53,0.25,0.05,5,0.750754849999017,0.7389496982004375,0.2561220709695441,0.34055794433708203,0.22380000000000003,True
plausible,SECTOR,53,0.4,0.08000000000000002,5,0.7491482483266907,0.7389496982004375,0.2583176505244099,0.36407350101893704,0.22380000000000003,True
plausible,SECTOR,53,0.6,0.12,5,0.7441430661936742,0.7389496982004375,0.24582128049883054,0.32369186585561216,0.22380000000000003,True
plausible,SECTOR,53,0.8,0.16000000000000003,5,0.7389496982004375,0.7389496982004375,0.22380000000000003,0.28,0.22380000000000003,True
plausible,SECTOR,53,0.95,0.19,5,0.7389496982004375,0.7389496982004375,0.22380000000000003,0.28,0.22380000000000003,True
plausible,PROJECT,11,0.0,0.0,4,0.7236389056989628,0.7214634502618895,0.2805170941646869,0.3880198977677065,0.255,True
plausible,PROJECT,11,0.1,0.025,4,0.7238371486404708,0.7214634502618895,0.2812959878994878,0.3899270874831318,0.255,True
plausible,PROJECT,11,0.25,0.0625,4,0.7235763026648026,0.7214634502618895,0.2755844190259307,0.3730265436305559,0.255,True
plausible,PROJECT,11,0.4,0.1,4,0.7234510965964817,0.7214634502618895,0.2781670570843114,0.38192647788723544,0.255,True
plausible,PROJECT,11,0.6,0.15,4,0.723670207216043,0.7214634502618895,0.27970846345750855,0.38562114868157715,0.255,True
plausible,PROJECT,11,0.8,0.2,4,0.7244631789820748,0.7214634502618895,0.26234709337678597,0.3350711458924882,0.255,True
plausible,PROJECT,11,0.95,0.2375,4,0.7211713027691408,0.7214634502618895,0.25170068139521057,0.2856916941395892,0.255,True
