regime,entity_type,model,interpretable,roc_auc_mean,roc_auc_sd,ceiling,ap_mean,precision_mean,recall_mean,skill
adversarial,CONTRACTOR,GRIE (tuned weights),True,0.8018327730719736,0.02639404528244095,0.8087186445311356,0.7718938462968155,0.9311589310368641,0.21951716316823627,0.9776953171402399
adversarial,CONTRACTOR,Logistic regression,True,0.8017443618466743,0.02602850772714412,0.8087186445311356,0.7722988057889084,0.7510068930202894,0.6041774091454009,0.9774089359097392
adversarial,CONTRACTOR,Gradient boosting,False,0.7993912981690013,0.02713584051883961,0.8087186445311356,0.7718801382527628,0.729343841742224,0.6236830994316105,0.9697869029701781
adversarial,CONTRACTOR,Random forest,False,0.7981431274175771,0.025718098076913522,0.8087186445311356,0.7712539411162894,0.7384266840225399,0.6315962591920161,0.9657438340673592
adversarial,CONTRACTOR,GRIE (hand-specified),True,0.7757328906973454,0.019827044855679734,0.8087186445311356,0.7291486651291145,0.8970783361076139,0.14906371905530197,0.8931526993327951
adversarial,PROJECT,Random forest,False,0.8114901347249599,0.007579705144768938,0.8212282942005764,0.8266776268493026,0.7909147305499171,0.6628054787390811,0.9696846148006627
adversarial,PROJECT,Gradient boosting,False,0.8111460326056253,0.010344094680255428,0.8212282942005764,0.8244397362215524,0.7785489328615294,0.6733059737163736,0.9686134074209053
adversarial,PROJECT,GRIE (tuned weights),True,0.8044183863095956,0.012373825192200424,0.8212282942005764,0.8193874679244095,0.9397927961062612,0.2863289201559561,0.9476699027001506
adversarial,PROJECT,GRIE (hand-specified),True,0.8028487822968955,0.012314205385326103,0.8212282942005764,0.8152531581438935,0.9403255291555981,0.25362286126959643,0.9427836456641497
adversarial,PROJECT,Logistic regression,True,0.800552841471643,0.013616464062927268,0.8212282942005764,0.8115855337722703,0.7396629916814712,0.7060070533424349,0.9356362652287921
adversarial,SECTOR,Random forest,False,0.8214009160197009,0.01611020577266138,0.8274645856588994,0.8182071065660319,0.8078579724366097,0.724278648252614,0.9814829758552437
adversarial,SECTOR,Gradient boosting,False,0.8183280083268517,0.017955817603217124,0.8274645856588994,0.8150664742987141,0.806417171047209,0.7235744575777655,0.9720990368663417
adversarial,SECTOR,Logistic regression,True,0.812974756514031,0.01859364161215083,0.8274645856588994,0.8008073378828726,0.7664288297679532,0.7428010007182518,0.9557514620528719
adversarial,SECTOR,GRIE (tuned weights),True,0.8124245603526827,0.017841310773439718,0.8274645856588994,0.7960476003458308,0.8732976454973891,0.13604696894162177,0.9540712920881071
adversarial,SECTOR,GRIE (hand-specified),True,0.7853495530620539,0.02882414380193393,0.8274645856588994,0.7763899645997452,0.8971848587920016,0.15995138650762564,0.8713905733894711
plausible,CONTRACTOR,GRIE (tuned weights),True,0.7556502288419029,0.023524461459748323,0.7586155951888431,0.7809291452905025,0.9270756884191232,0.08529340303754182,0.9885336909215591
plausible,CONTRACTOR,Logistic regression,True,0.7554176334170842,0.023359462214804498,0.7586155951888431,0.7804304113888901,0.7069583949046727,0.7155407087947753,0.9876343042289321
plausible,CONTRACTOR,GRIE (hand-specified),True,0.7510366053295991,0.02317230189620222,0.7586155951888431,0.77329796194069,0.8935338301294002,0.12196255265901165,0.9706939952568995
plausible,CONTRACTOR,Random forest,False,0.7458457668933658,0.023339520772563616,0.7586155951888431,0.7703426842527541,0.7011763300269545,0.7076871893898848,0.9506223579202456
plausible,CONTRACTOR,Gradient boosting,False,0.7455467677978158,0.02178046169517273,0.7586155951888431,0.7734100810194,0.7021663800512353,0.6828567682188489,0.9494662053095276
plausible,PROJECT,GRIE (tuned weights),True,0.7620640791324875,0.014852341016572896,0.7677301683029226,0.8323484655557098,0.9466192757487579,0.1432042392591629,0.9788365681523638
plausible,PROJECT,Logistic regression,True,0.7604248058898674,0.01440611227523001,0.7677301683029226,0.8296319930750238,0.7319760568822453,0.8050552683487302,0.9727137122448241
plausible,PROJECT,GRIE (hand-specified),True,0.7588172107916348,0.018447762844365237,0.7677301683029226,0.8261272137940537,0.917639814678272,0.20068114440716195,0.9667091774984308
plausible,PROJECT,Random forest,False,0.7513744872301086,0.013619505417166932,0.7677301683029226,0.8213446055107984,0.7274693224621414,0.7984334873523732,0.9389098315797253
plausible,PROJECT,Gradient boosting,False,0.749400737818949,0.016929705622975556,0.7677301683029226,0.8205337976971505,0.7294336741145644,0.7893105695104363,0.9315376724253397
plausible,SECTOR,Logistic regression,True,0.7424115246783521,0.015682544796505406,0.7479251475862867,0.7427103277925577,0.6930725524244401,0.6700076866529344,0.9777609372763785
plausible,SECTOR,GRIE (tuned weights),True,0.7407912864821361,0.015304965672149586,0.7479251475862867,0.7399515444937241,0.8676997016197783,0.09531031283340365,0.9712257462641309
plausible,SECTOR,Random forest,False,0.7375551729566807,0.017266435403692885,0.7479251475862867,0.7399814333609157,0.6972601707443251,0.6665237149230154,0.9581729617565444
plausible,SECTOR,GRIE (hand-specified),True,0.7370404962875867,0.0166971585645056,0.7479251475862867,0.7382233349554962,0.8518976026488401,0.15487064367662107,0.9560970260392333
plausible,SECTOR,Gradient boosting,False,0.7339503882447765,0.02056691932844315,0.7479251475862867,0.7365068455129284,0.6883956569983672,0.6627622761648424,0.9436331510636836
