decisions,raw_accuracy,gated_accuracy,raw_aurc,gated_aurc,raw_argmax_infeasible_rate,truth_infeasible_rate,mean_permitted_size,unigram_fallback_rate,empty_feasible_rate,raw_accuracy_on_deviating,gated_accuracy_on_deviating,raw_accuracy_on_conforming,gated_accuracy_on_conforming,raw_coverage@0.01,gated_coverage@0.01,raw_coverage@0.02,gated_coverage@0.02,raw_coverage@0.05,gated_coverage@0.05,raw_coverage@0.1,gated_coverage@0.1,train_cases,test_cases,alphabet,municipality,train_municipality
43522.0,0.41257295161067964,0.29585037452322965,0.3839920767602397,0.5769184445997213,0.4036349432470934,0.4431092321124948,149.7296999218786,0.13409310233904692,0.0,0.3054187192118227,0.0,0.497833890332962,0.5312538680529768,9.190754101374018e-05,9.190754101374018e-05,9.190754101374018e-05,9.190754101374018e-05,9.190754101374018e-05,9.190754101374018e-05,9.190754101374018e-05,9.190754101374018e-05,1199.0,832.0,398.0,2.0,1.0
58272.0,0.4825988467874794,0.3635193574958814,0.30765970255286457,0.5185249555498234,0.3074032125205931,0.3529997254255903,153.0279379461834,0.10310269082921472,0.0,0.3760330578512397,0.0,0.5407405442682086,0.5618534825738688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,832.0,1409.0,410.0,3.0,2.0
46240.0,0.42502162629757784,0.32616782006920414,0.3790695984492255,0.5484662699656918,0.37006920415224914,0.37441608996539794,135.5448313148789,0.11059688581314879,0.0,0.3039912204701669,0.0,0.4974591212362153,0.5213814083728004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1409.0,1053.0,383.0,4.0,3.0
57927.0,0.4316467277780655,0.3320386003072833,0.37353412803378233,0.5442642865140008,0.36217998515372796,0.4127436255977351,141.41495330329553,0.13309855507794294,0.0,0.28750679660378936,0.0,0.5329531424539949,0.565406549473808,6.905242805600152e-05,0.0,6.905242805600152e-05,0.0,6.905242805600152e-05,0.0,6.905242805600152e-05,0.0,1053.0,1156.0,356.0,5.0,4.0
51018.0,0.4456466345211494,0.3473283939001921,0.3379981039723787,0.5356694698043247,0.32563016974401193,0.36941863655964563,137.5232074953938,0.0980242267435023,0.0,0.3155409348968006,0.0,0.5218675204376613,0.5508066270865065,1.9600925163667727e-05,0.0,1.9600925163667727e-05,0.0,1.9600925163667727e-05,0.0,1.9600925163667727e-05,0.0,1156.0,1199.0,389.0,1.0,5.0
