challenger,control,gap,ci_low,ci_high,verdict
grie,gbm,-0.12301307164190678,-0.14740759836747339,-0.09796613487274038,behind
grie,rf,-0.12512800124122414,-0.1509168988975057,-0.10039918302428724,behind
grie_tuned,gbm,0.005454598347620521,-0.0020142767377817673,0.012943876197210106,no detectable difference
grie_tuned,rf,0.0033396687483031595,-0.007331231152930925,0.01457346655543655,no detectable difference
logistic,gbm,0.012499515146813578,0.007144284432762915,0.017731820178347266,ahead
logistic,rf,0.010384585547496217,0.0016262705304453508,0.019261646880107914,ahead
