panel,model,brier,ece,brier_calibrated,ece_calibrated,mean_predicted,observed_rate
2015,GRIE (hand-specified),0.22229554607370763,0.3107380326760639,0.12069894028435398,0.04371361053884102,0.5271559431238251,0.21641791044776118
2015,GRIE (tuned),0.2394204780145047,0.333692556941184,0.12711568684852434,0.07921971411582608,0.5501104673889452,0.21641791044776118
2015,Logistic regression,0.1344216983743722,0.0526731774569008,0.13129175247892708,0.04784679502343832,0.2638434714848653,0.21641791044776118
2015,Gradient boosting,0.1505941717483819,0.10840803375889496,0.13195521088811457,0.052750359221326155,0.30779554148836796,0.21641791044776118
2015,Random forest,0.1502417416810141,0.12183730089121927,0.1278085685961387,0.04596279864202989,0.33572961942444135,0.21641791044776118
2018,GRIE (hand-specified),0.2455502499190439,0.25711387362308896,0.1671512220443828,0.06530283588515279,0.4595678613531503,0.20245398773006135
2018,GRIE (tuned),0.3452739283403217,0.40789913702054026,0.16582958401627015,0.08814096433202105,0.5905481195402887,0.20245398773006135
2018,Logistic regression,0.20763126050904446,0.17197829606373982,0.16680402652456638,0.06786921401491856,0.3569407549194725,0.20245398773006135
2018,Gradient boosting,0.1724655400806953,0.10727217677258631,0.16055068973162165,0.07200063427998472,0.24600660987545642,0.20245398773006135
2018,Random forest,0.20248929745479954,0.19120923259114322,0.156869075329674,0.08824197420274134,0.3470800534520467,0.20245398773006135
