seed,fold,floor_fraction,min_weight,test_auc,untuned_auc,hhi,largest_share,converged
11,0,0.0,0.0,0.8305555555555555,0.8277777777777777,0.22507018593785724,0.2876791819525169,True
11,0,0.1,0.020000000000000004,0.8277777777777777,0.8277777777777777,0.21864813336758412,0.2787209718123189,True
11,0,0.25,0.05,0.8305555555555555,0.8277777777777777,0.21376708116855545,0.2660134990915012,True
11,0,0.4,0.08000000000000002,0.8361111111111111,0.8277777777777777,0.20845079521481222,0.2555144811700235,True
11,0,0.6,0.12,0.8277777777777777,0.8277777777777777,0.22380000000000003,0.28,True
11,0,0.8,0.16000000000000003,0.8277777777777777,0.8277777777777777,0.22380000000000003,0.28,True
11,0,0.95,0.19,0.8277777777777777,0.8277777777777777,0.22380000000000003,0.28,True
11,1,0.0,0.0,0.8976833976833978,0.8957528957528959,0.2745452817724159,0.41715042135813496,True
11,1,0.1,0.020000000000000004,0.8976833976833978,0.8957528957528959,0.24549322110791746,0.38385802114360085,True
11,1,0.25,0.05,0.8957528957528959,0.8957528957528959,0.22119829139463415,0.3038969721877048,True
11,1,0.4,0.08000000000000002,0.8957528957528957,0.8957528957528959,0.22765320558977944,0.3214287393109963,True
11,1,0.6,0.12,0.8938223938223937,0.8957528957528959,0.2355549676159818,0.3614656937617639,True
11,1,0.8,0.16000000000000003,0.8976833976833977,0.8957528957528959,0.20620844466105961,0.2691765297863764,True
11,1,0.95,0.19,0.8957528957528959,0.8957528957528959,0.22380000000000003,0.28,True
11,2,0.0,0.0,0.8363636363636364,0.9121212121212121,0.25825682903987374,0.32370549558163714,True
11,2,0.1,0.020000000000000004,0.8454545454545455,0.9121212121212121,0.2397736238722476,0.30873124431780674,True
11,2,0.25,0.05,0.8636363636363635,0.9121212121212121,0.24848840458888705,0.3525211972118816,True
11,2,0.4,0.08000000000000002,0.9030303030303031,0.9121212121212121,0.2090369328789164,0.26292481272654517,True
11,2,0.6,0.12,0.896969696969697,0.9121212121212121,0.20417502282412478,0.24029295842756068,True
11,2,0.8,0.16000000000000003,0.890909090909091,0.9121212121212121,0.20089594964575205,0.21697482951476393,True
11,2,0.95,0.19,0.8878787878787878,0.9121212121212121,0.20006073798144036,0.20444846940422362,True
11,3,0.0,0.0,0.7776639344262295,0.7745901639344263,0.242424727299971,0.3421258791290568,True
11,3,0.1,0.020000000000000004,0.7745901639344263,0.7745901639344263,0.2218007679308385,0.28889657538100405,True
11,3,0.25,0.05,0.7817622950819672,0.7745901639344263,0.21560704232243938,0.2725090460821777,True
11,3,0.4,0.08000000000000002,0.7817622950819672,0.7745901639344263,0.209369084372804,0.2553524034495842,True
11,3,0.6,0.12,0.7848360655737705,0.7745901639344263,0.20460623972625375,0.2430487535420109,True
11,3,0.8,0.16000000000000003,0.7868852459016393,0.7745901639344263,0.2055874762108064,0.2653597042989036,True
11,3,0.95,0.19,0.7745901639344263,0.7745901639344263,0.22380000000000003,0.28,True
11,4,0.0,0.0,0.88,0.885,0.22768438211175307,0.2979890770871429,True
11,4,0.1,0.020000000000000004,0.885,0.885,0.219741841762125,0.28408120858359603,True
11,4,0.25,0.05,0.9,0.885,0.2183539540151752,0.2971638042031086,True
11,4,0.4,0.08000000000000002,0.885,0.885,0.20833124978147818,0.25361283386997646,True
11,4,0.6,0.12,0.885,0.885,0.2048489544214456,0.2380907567506373,True
11,4,0.8,0.16000000000000003,0.885,0.885,0.22380000000000003,0.28,True
11,4,0.95,0.19,0.885,0.885,0.22380000000000003,0.28,True
23,0,0.0,0.0,0.9520000000000001,0.984,0.23251911590002972,0.3357567558502008,True
23,0,0.1,0.020000000000000004,0.984,0.984,0.21680646042836735,0.2977478852215249,True
23,0,0.25,0.05,0.984,0.984,0.22095175292747032,0.3130882287530672,True
23,0,0.4,0.08000000000000002,0.984,0.984,0.21695388795702897,0.308097913099221,True
23,0,0.6,0.12,0.984,0.984,0.20948189620513222,0.27875099598820197,True
23,0,0.8,0.16000000000000003,0.984,0.984,0.22380000000000003,0.28,True
23,0,0.95,0.19,0.984,0.984,0.22380000000000003,0.28,True
23,1,0.0,0.0,0.8663865546218488,0.8668067226890757,0.22206447684210134,0.27233483906404354,True
23,1,0.1,0.020000000000000004,0.8663865546218488,0.8668067226890757,0.21863531286526067,0.27300520277278423,True
23,1,0.25,0.05,0.8588235294117647,0.8668067226890757,0.21099750238045814,0.2527579841159707,True
23,1,0.4,0.08000000000000002,0.8621848739495798,0.8668067226890757,0.20962930657637197,0.2496160217463643,True
23,1,0.6,0.12,0.8605042016806723,0.8668067226890757,0.20359660954711437,0.22938118078746053,True
23,1,0.8,0.16000000000000003,0.857983193277311,0.8668067226890757,0.20153017589534927,0.21893159883886895,True
23,1,0.95,0.19,0.8668067226890757,0.8668067226890757,0.22380000000000003,0.28,True
23,2,0.0,0.0,0.8081632653061224,0.8380952380952381,0.3000940621207962,0.47358229210011765,True
23,2,0.1,0.020000000000000004,0.8408163265306123,0.8380952380952381,0.22028259109583237,0.27896535272259937,True
23,2,0.25,0.05,0.8040816326530612,0.8380952380952381,0.278751006980913,0.4495636586068663,True
23,2,0.4,0.08000000000000002,0.8421768707482994,0.8380952380952381,0.2117318096257957,0.2752399539867009,True
23,2,0.6,0.12,0.8380952380952381,0.8380952380952381,0.22380000000000003,0.28,True
23,2,0.8,0.16000000000000003,0.8204081632653061,0.8380952380952381,0.23163165937538124,0.3590763188424213,True
23,2,0.95,0.19,0.8380952380952381,0.8380952380952381,0.22380000000000003,0.28,True
23,3,0.0,0.0,0.8296703296703296,0.8406593406593407,0.2390654023993251,0.30432428458636746,True
23,3,0.1,0.020000000000000004,0.8296703296703296,0.8406593406593407,0.24797023214249003,0.370594002580333,True
23,3,0.25,0.05,0.8296703296703296,0.8406593406593407,0.22901814163643894,0.29788126562946243,True
23,3,0.4,0.08000000000000002,0.8296703296703296,0.8406593406593407,0.21895400140295745,0.28444823435581873,True
23,3,0.6,0.12,0.8296703296703296,0.8406593406593407,0.20963290337607776,0.28279722418440484,True
23,3,0.8,0.16000000000000003,0.8296703296703296,0.8406593406593407,0.20092848552531645,0.2175791929170671,True
23,3,0.95,0.19,0.8296703296703296,0.8406593406593407,0.20005943697491907,0.20388787113510454,True
23,4,0.0,0.0,0.8032345013477089,0.8032345013477089,0.22403834148778018,0.27952918552407435,True
23,4,0.1,0.020000000000000004,0.8005390835579516,0.8032345013477089,0.2212666212607099,0.2850103219031373,True
23,4,0.25,0.05,0.8113207547169812,0.8032345013477089,0.2153827692944233,0.27251959132234344,True
23,4,0.4,0.08000000000000002,0.8113207547169812,0.8032345013477089,0.21107024695290613,0.2819284951562259,True
23,4,0.6,0.12,0.8086253369272237,0.8032345013477089,0.20948033992906417,0.27524972297378536,True
23,4,0.8,0.16000000000000003,0.8032345013477089,0.8032345013477089,0.22380000000000003,0.28,True
23,4,0.95,0.19,0.8032345013477089,0.8032345013477089,0.22380000000000003,0.28,True
37,0,0.0,0.0,0.8024691358024691,0.8024691358024691,0.22461858039517618,0.2826053636070448,True
37,0,0.1,0.020000000000000004,0.8055555555555556,0.8024691358024691,0.21846731876555517,0.2792861637536554,True
37,0,0.25,0.05,0.7870370370370371,0.8024691358024691,0.28014417974385614,0.4454902863768228,True
37,0,0.4,0.08000000000000002,0.7561728395061728,0.8024691358024691,0.31344556374816757,0.4945741033267686,True
37,0,0.6,0.12,0.7685185185185185,0.8024691358024691,0.3037084550715535,0.4875837728795287,True
37,0,0.8,0.16000000000000003,0.7932098765432098,0.8024691358024691,0.23155703423287022,0.35888728269252895,True
37,0,0.95,0.19,0.8024691358024691,0.8024691358024691,0.22380000000000003,0.28,True
37,1,0.0,0.0,0.9611111111111111,0.961111111111111,0.2303417776074544,0.3160615270401926,True
37,1,0.1,0.020000000000000004,0.9611111111111111,0.961111111111111,0.21469676448996755,0.2787663558074154,True
37,1,0.25,0.05,0.9611111111111111,0.961111111111111,0.2270998818175155,0.33432999632943944,True
37,1,0.4,0.08000000000000002,0.9611111111111111,0.961111111111111,0.21613241626238783,0.297232622503921,True
37,1,0.6,0.12,0.9611111111111111,0.961111111111111,0.20438861365191272,0.24032824287329552,True
37,1,0.8,0.16000000000000003,0.961111111111111,0.961111111111111,0.22380000000000003,0.28,True
37,1,0.95,0.19,0.961111111111111,0.961111111111111,0.22380000000000003,0.28,True
37,2,0.0,0.0,0.6236559139784946,0.6290322580645161,0.22577455978089392,0.287995596219428,True
37,2,0.1,0.020000000000000004,0.6236559139784946,0.6290322580645161,0.22168987426105902,0.27774345732134387,True
37,2,0.25,0.05,0.6182795698924731,0.6290322580645161,0.21498494613039026,0.2724483385654176,True
37,2,0.4,0.08000000000000002,0.6236559139784946,0.6290322580645161,0.21499266058773536,0.28696973685946836,True
37,2,0.6,0.12,0.6236559139784946,0.6290322580645161,0.2060199805075214,0.2470779434444825,True
37,2,0.8,0.16000000000000003,0.6236559139784946,0.6290322580645161,0.20269453139882074,0.23248074601163085,True
37,2,0.95,0.19,0.6290322580645161,0.6290322580645161,0.22380000000000003,0.28,True
37,3,0.0,0.0,0.8952380952380953,0.9079365079365079,0.2321575700309522,0.28142040727893386,True
37,3,0.1,0.020000000000000004,0.9031746031746032,0.9079365079365079,0.22087801172656538,0.28892982567253,True
37,3,0.25,0.05,0.9031746031746032,0.9079365079365079,0.2127315012787537,0.26062736792582547,True
37,3,0.4,0.08000000000000002,0.9047619047619049,0.9079365079365079,0.20938042091005415,0.2549653866657128,True
37,3,0.6,0.12,0.9031746031746032,0.9079365079365079,0.20482920157139228,0.2357737189770444,True
37,3,0.8,0.16000000000000003,0.8984126984126986,0.9079365079365079,0.2009598715750567,0.21645011731931835,True
37,3,0.95,0.19,0.8936507936507937,0.9079365079365079,0.20006579429815302,0.20417781879860772,True
37,4,0.0,0.0,0.8555194805194806,0.8522727272727273,0.24193181871089112,0.3436943095525134,True
37,4,0.1,0.020000000000000004,0.8530844155844156,0.8522727272727273,0.21952665648366965,0.2993861324601128,True
37,4,0.25,0.05,0.8522727272727273,0.8522727272727273,0.22117581650347656,0.30332653134971516,True
37,4,0.4,0.08000000000000002,0.8547077922077922,0.8522727272727273,0.20814144211396188,0.24518892246367802,True
37,4,0.6,0.12,0.8547077922077921,0.8522727272727273,0.20421706335826523,0.2340839642400409,True
37,4,0.8,0.16000000000000003,0.8522727272727273,0.8522727272727273,0.22380000000000003,0.28,True
37,4,0.95,0.19,0.8522727272727273,0.8522727272727273,0.22380000000000003,0.28,True
41,0,0.0,0.0,0.7,0.7,0.22612863265841548,0.2937778541196191,True
41,0,0.1,0.020000000000000004,0.7,0.7,0.22131100670750029,0.28787014113878484,True
41,0,0.25,0.05,0.7166666666666667,0.7,0.22036464364993139,0.3025425400923498,True
41,0,0.4,0.08000000000000002,0.7,0.7,0.22380000000000003,0.28,True
41,0,0.6,0.12,0.7222222222222223,0.7,0.21214997634566077,0.2942314866661372,True
41,0,0.8,0.16000000000000003,0.7,0.7,0.22380000000000003,0.28,True
41,0,0.95,0.19,0.7,0.7,0.22380000000000003,0.28,True
41,1,0.0,0.0,0.7385620915032679,0.7549019607843137,0.24224917900625245,0.3393780266708727,True
41,1,0.1,0.020000000000000004,0.7516339869281046,0.7549019607843137,0.21879435896101884,0.2840905091962186,True
41,1,0.25,0.05,0.7450980392156863,0.7549019607843137,0.21469498394032333,0.257849432814194,True
41,1,0.4,0.08000000000000002,0.7483660130718954,0.7549019607843137,0.21337234636002175,0.2840584945713662,True
41,1,0.6,0.12,0.7549019607843138,0.7549019607843137,0.20614761635219322,0.25176098836825456,True
