model,test_auc,test_sd,train_auc,overfit,panel,rows
logistic,0.8189302954467952,0.03725922736041092,0.8228271354610962,0.0038968400143010173,NYC 311 Brooklyn,2538
grie_tuned,0.8116729084766368,0.03767137724231093,0.8129747532145438,0.0013018447379070652,NYC 311 Brooklyn,2538
gbm,0.8097418266580589,0.04179506113060845,0.8347518116214829,0.025009984963423992,NYC 311 Brooklyn,2538
rf,0.8077855166223398,0.04247316508667239,0.9008660613353624,0.09308054471302263,NYC 311 Brooklyn,2538
grie,0.6869393937301382,0.04242991355953868,0.68474069793834,-0.002198695791798211,NYC 311 Brooklyn,2538
