candidate,test_auc,test_sd,oof_auc,within_agency_auc,auc_DEP,auc_DOT,auc_DSNY,max_saturation,saturated_factor,weight_slaBreachRate,weight_repeatComplaintRate,weight_escalationRate,weight_openComplaintLoad,weight_avgResolutionDays
hand,0.6743347574884696,0.04300816507103737,0.6750804856289516,0.7010855782395448,0.6339680653406145,0.6250691615109903,0.8442195078670294,0.7608353033884949,openComplaintLoad,0.28,0.27,0.2,0.15,0.1
persistence,0.8195763021897772,0.03294439428406343,0.8221946394631705,0.7885257448685096,0.6817898876722407,0.7358583572254918,0.947928989707796,0.7608353033884949,openComplaintLoad,1.0,0.0,0.0,0.0,0.0
tuned_noida,0.8115246360308275,0.035656305481557515,0.8140588029944533,0.7856853059452558,0.6853313716058814,0.725899099642875,0.9458254465870106,0.7608353033884949,openComplaintLoad,0.799997694177733,0.050000000008378793,0.05000000511195332,0.05000229570963471,0.05000000499230017
tuned_nyc,0.8073446665033791,0.03640502203312349,0.8097145184438153,0.7830229165219283,0.6911976911976911,0.7116241637744581,0.9462468945936354,0.0504334121355398,openComplaintLoad,0.7999978708155654,0.050000011637904206,0.050000736462229446,0.05000003701904387,0.05000134406525716
tuned_agency,0.8138629200773186,0.034064850803106686,0.815974942787324,0.7840817332818196,0.6902451216176706,0.715849303354962,0.9461507748728263,0.05161544523246651,openComplaintLoad,0.7999840085137478,0.05000002657706804,0.05001283494692206,0.050000005857098274,0.05000312410516374
