regime,entity_type,seed,bayes_ceiling,model,interpretable,roc_auc,average_precision,brier,precision_at_threshold,recall_at_threshold
plausible,SECTOR,20260826,0.750713635408642,GRIE (hand-specified),True,0.7351355136914349,0.7570694507055219,0.22416545716405106,0.8721804511278195,0.17709923664122137
plausible,SECTOR,20260826,0.750713635408642,GRIE (tuned weights),True,0.7388080397786959,0.7590721853446508,0.23449012424970514,0.8714285714285714,0.09312977099236641
plausible,SECTOR,20260826,0.750713635408642,Logistic regression,True,0.742480565865957,0.7646045566274614,0.20494196578434226,0.6942028985507246,0.7312977099236642
plausible,SECTOR,20260826,0.750713635408642,Gradient boosting,False,0.7375068282092583,0.7616014699292899,0.2062620087674915,0.7025796661608498,0.7068702290076336
plausible,SECTOR,20260826,0.750713635408642,Random forest,False,0.7406092863645913,0.7640838694068048,0.20528212121876208,0.7044776119402985,0.7206106870229008
plausible,SECTOR,20260827,0.7460576923076923,GRIE (hand-specified),True,0.734793552036199,0.7744002917212223,0.2252708828930777,0.8482758620689655,0.18088235294117647
plausible,SECTOR,20260827,0.7460576923076923,GRIE (tuned weights),True,0.7454468325791854,0.7789498480040429,0.22692502065231632,0.8770491803278688,0.15735294117647058
plausible,SECTOR,20260827,0.7460576923076923,Logistic regression,True,0.7440016968325792,0.7785529659625323,0.2027280645838486,0.7082191780821918,0.7602941176470588
plausible,SECTOR,20260827,0.7460576923076923,Gradient boosting,False,0.739318438914027,0.7795632058030604,0.20450644027233253,0.7153075822603719,0.7352941176470589
plausible,SECTOR,20260827,0.7460576923076923,Random forest,False,0.7411199095022625,0.7816751041002443,0.20431463841451958,0.7150610583446404,0.775
plausible,SECTOR,20260828,0.7633672788772017,GRIE (hand-specified),True,0.7531082638654384,0.7468221960085105,0.2199086950181035,0.8129496402877698,0.17628705148205928
plausible,SECTOR,20260828,0.7633672788772017,GRIE (tuned weights),True,0.7590247795958351,0.7467933205760728,0.2279416834304966,0.7727272727272727,0.07956318252730109
plausible,SECTOR,20260828,0.7633672788772017,Logistic regression,True,0.7633114626910659,0.7563311278347471,0.19825306522880182,0.7164179104477612,0.748829953198128
plausible,SECTOR,20260828,0.7633672788772017,Gradient boosting,False,0.7593415364521557,0.7627884387100731,0.1998524972048332,0.7151799687010955,0.7129485179407177
plausible,SECTOR,20260828,0.7633672788772017,Random forest,False,0.7591503660146406,0.7616761335239584,0.199984997964685,0.7177914110429447,0.7301092043681747
plausible,SECTOR,20260829,0.7301930069930069,GRIE (hand-specified),True,0.7184587412587413,0.7495077440174976,0.22780028172872904,0.8617886178861789,0.16307692307692306
plausible,SECTOR,20260829,0.7301930069930069,GRIE (tuned weights),True,0.7159720279720279,0.7483978458245717,0.23059830468153483,0.883495145631068,0.14
plausible,SECTOR,20260829,0.7301930069930069,Logistic regression,True,0.7227216783216783,0.755843958574211,0.2116891748503554,0.6915887850467289,0.683076923076923
plausible,SECTOR,20260829,0.7301930069930069,Gradient boosting,False,0.706890909090909,0.7427523232498973,0.21693589546342149,0.6803030303030303,0.6907692307692308
plausible,SECTOR,20260829,0.7301930069930069,Random forest,False,0.7108083916083916,0.739511931199157,0.21591604971458916,0.6892744479495269,0.6723076923076923
plausible,SECTOR,20260830,0.7580706120814914,GRIE (hand-specified),True,0.7425215081007079,0.7777011148146902,0.22169505181178778,0.9072847682119205,0.20980091883614088
plausible,SECTOR,20260830,0.7580706120814914,GRIE (tuned weights),True,0.7523285861065927,0.7807908575939917,0.22345233146582208,0.9107142857142857,0.1562021439509954
plausible,SECTOR,20260830,0.7580706120814914,Logistic regression,True,0.7521326125238319,0.7854163260159006,0.20101168299127808,0.6926470588235294,0.7212863705972435
plausible,SECTOR,20260830,0.7580706120814914,Gradient boosting,False,0.7431080290376857,0.7650231328349014,0.20462909368987145,0.7023460410557185,0.7335375191424196
plausible,SECTOR,20260830,0.7580706120814914,Random forest,False,0.7456374880666086,0.7741959777082268,0.20362260890974462,0.700589970501475,0.7274119448698315
plausible,PROJECT,20260826,0.7233264042083829,GRIE (hand-specified),True,0.71019641948074,0.8068511642736689,0.24272975936792773,0.8992805755395683,0.22007042253521128
plausible,PROJECT,20260826,0.7233264042083829,GRIE (tuned weights),True,0.718426522993382,0.8170398497642202,0.2507465064614207,0.9148936170212766,0.15140845070422534
